UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,20.564370967741933.1,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TRADICIONAL,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,0,,0,,,,,,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,0,,0,,,,,,
EMPAQUE,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,0,,0,,,,,,
PROD HOGAR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,0,,0,,,,,,
OTROS INGRESOS,,0,,0,0,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,0,,0,,,,,,
TOTAL VENTAS,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,8550172.730000021,1,,11235183.35513693,1,,-2685010.625136908,-0.23898235927847788,,9248394.369999945,1,,,,,9248394.369999945,,,9717507.260000031,1,,,,,9717507.260000031,,,27516074.36,1,,7617388.140000002,1,,,,,7617388.140000002,,,8351463.019999985,1,,,,,8351463.019999985,,,8379435.259999989,1,,,,,8379435.259999989,,,24348286.419999976,1,,9033461.600000013,1,,,,,9033461.600000013,,,10387710.560000049,1,,,,,10387710.560000049,,,12785486.139999941,1,,,,,12785486.139999941,,,32206658.3,1,,12847525.409999961,1,,,,,12847525.409999961,,,,,,,,,,,,,,,,,,,,,12847525.409999961,1,,96918544.48999994,1,,11235183.35513693,1,,85683361.134863,7.626342928857233,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,8550172.730000021,,,11235183.35513693,,,-2685010.625136908,-0.23898235927847788,,9248394.369999945,,,,,,9248394.369999945,,,9717507.260000031,,,,,,9717507.260000031,,,27516074.36,,,7617388.140000002,,,,,,7617388.140000002,,,8351463.019999985,,,,,,8351463.019999985,,,8379435.259999989,,,,,,8379435.259999989,,,24348286.419999976,,,9033461.600000013,,,,,,9033461.600000013,,,10387710.560000049,,,,,,10387710.560000049,,,12785486.139999941,,,,,,12785486.139999941,,,32206658.3,,,12847525.409999961,,,,,,12847525.409999961,,,,,,,,,,,,,,,,,,,,,12847525.409999961,,,96918544.48999994,1,,11235183.35513693,1,,85683361.134863,7.626342928857233,,,,,
,0.014099177607786284,,,,,,,,,0.01724309130106581,,,,,,,,,0.01677588273530502,,,,,,,,,0.1869463321454706,,,0.013622233169230835,,,,,,,,,0.014825234438658354,,,,,,,,,0.01650379861359789,,,,,,,,,0.1869463321454706,,,0.0151398251665103,,,,,,,,,0.0205279080459263,,,,,,,,,0.024190072330774328,,,,,,,,,0.1869463321454706,,,0.02034338882414463,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,12053574.18,,,,,,,,,13198676.83,,,,,,,,,11039946.25,,,,,,,,,12053574.18,,,11365667.5,,,,,,,,,14560406.4,,,,,,,,,10654650.85,,,,,,,,,11365667.5,,,7918428.58,,,,,,,,,5793242.550000001,,,,,,,,,5286390.87,,,,,,,,,7918428.58,,,8442969.27,,,,,,,,,,,,,,,,,,,,,,,,,,,8442969.27,,,,,,,,,,,,,,,
(+) COMPRAS,8348378.46,,,,,,,,,5617036.41,,,,,,,,,8131576.9,,,,,,,,,22096991.77,,,9260852.7,,,,,,,,,2072359.4,,,,,,,,,4160985.53,,,,,,,,,15494197.629999999,,,5949908.38,,,,,,,,,7232877.23,,,,,,,,,13161248.71,,,,,,,,,26344034.32,,,12674450.15,,,,,,,,,,,,,,,,,,,,,,,,,,,12674450.15,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,170161.62000000002,,,,,,,,,188419.32,,,,,,,,,539997.3899999999,,,,,,,,,898578.33,,,678550.1900000001,,,,,,,,,191299.13999999998,,,,,,,,,373308.94000000006,,,,,,,,,1243158.27,,,385952.86000000004,,,,,,,,,309318.23,,,,,,,,,622137.81,,,,,,,,,1317408.9000000001,,,981448.0299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,981448.0299999999,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,13198676.83,,,,,,,,,11039946.25,,,,,,,,,11365667.5,,,,,,,,,11365667.5,,,14560406.4,,,,,,,,,10654650.85,,,,,,,,,7918428.58,,,,,,,,,7918428.58,,,5793242.550000001,,,,,,,,,5286390.87,,,,,,,,,8442969.27,,,,,,,,,8442969.27,,,10758717.39,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MATERIALES,7373437.430000001,0.8623729207398109,,9592299.351212282,0.8537732805959511,,-2218861.921212281,0.008599640143859721,,7964186.310000002,0.8611425931223616,,,,,7964186.310000002,,,8345853.039999998,0.8588471113732897,,,,,8345853.039999998,,,23683476.78,0.8607142308943811,,6744663.989999999,0.8854300012077364,,,,,6744663.989999999,,,6169414.090000001,0.7387225537879484,,,,,6169414.090000001,,,7270516.739999999,0.8676619025516534,,,,,7270516.739999999,,,20184594.82,0.8289944709792855,,8461047.27,0.9366339997504376,,,,,8461047.27,,,8049047.140000001,0.7748624774928232,,,,,8049047.140000001,,,10626808.120000003,0.8311618348835074,,,,,10626808.120000003,,,27136902.530000005,0.8425867184736767,,11340150.06,0.8826719308274974,,,,,11340150.06,,,,,,,,,,,,,,,,,,,,,11340150.06,0.8826719308274974,,82345124.19000001,0.8496322826896806,,9592299.351212282,0.8537732805959511,,72752824.83878773,-0.004140997906270538,,,,,
(+) VARIACION EN COMPRAS,541745.79,0.0633608006653684,,,0,,541745.79,,,236861.3,0.025611072638547245,,,,,236861.3,,,132296.59,0.013614251727350864,,,,,132296.59,,,910903.68,0.03310441991406219,,406995.1,0.053429744227264736,,,,,406995.1,,,82363.62,0.009862178615023089,,,,,82363.62,,,-198414.08,-0.023678693592532184,,,,,-198414.08,,,290944.64,0.011949286080395973,,-466151.66,-0.05160277207576765,,,,,-466151.66,,,-658796.46,-0.0634207563057087,,,,,-658796.46,,,-1507095.15,-0.11787546703327832,,,,,-1507095.15,,,-2632043.27,-0.08172357546327617,,-1838975.72,-0.14313851588638388,,,,,-1838975.72,,,,,,,,,,,,,,,,,,,,,-1838975.72,-0.14313851588638388,,-3269170.67,-0.03373111603360194,,0,0,,-3269170.67,,,,,,
(+) VARIACION STD,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
FLETES MERCANCIAS,20000,0.002339134030570626,,7933.206674238866,0,,12066.793325761133,0.002339134030570626,,0,0,,,,,0,,,11777.75,0.0012120135014954403,,,,,11777.75,,,31777.75,0.0011548794927736922,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,31777.75,0,,7933.206674238866,0,,23844.543325761133,,,,,,
FLETES INTERPLANTAS,0,0,,3758.9396521836998,0,,-3758.9396521836998,,,0,0,,,,,0,,,17800,0.0018317454799616937,,,,,17800,,,17800,0,,0,0,,,,,0,,,19080,0.0022846296456450134,,,,,19080,,,26000,0.0031028344027089045,,,,,26000,,,45080,0.0018514649952109461,,0,0,,,,,0,,,52000,0.0050059153746771085,,,,,52000,,,26000,0.0020335558394340507,,,,,26000,,,78000,0.002421859457551981,,52000,0.0040474720493275254,,,,,52000,,,,,,,,,,,,,,,,,,,,,52000,0.0040474720493275254,,192880,0.001990124810633133,,3758.9396521836998,0,,189121.0603478163,0.001990124810633133,,,,,
GASTOS DE IMPORTACION MERCANCIAS,17986.28,0.0021036159815685917,,10397.831008461506,0,,7588.448991538493,0.0021036159815685917,,0,0,,,,,0,,,29907.49,0.0030776915519381775,,,,,29907.49,,,47893.770000000004,0.0017405742321158636,,3747.84,0,,,,,3747.84,,,14854.689999999999,0.0017786931420789582,,,,,14854.689999999999,,,25413.329999999998,0.0030328213312074723,,,,,25413.329999999998,,,44015.86,0.0018077600715196468,,0,0,,,,,0,,,0,0,,,,,0,,,6357.999999999999,0,,,,,6357.999999999999,,,6357.999999999999,0,,13787.18,0.0010731389555586053,,,,,13787.18,,,,,,,,,,,,,,,,,,,,,13787.18,0.0010731389555586053,,112054.81,0.0011561751220021863,,10397.831008461506,0,,101656.97899153849,0.0011561751220021863,,,,,
(+) GTOS S/COMPRA,37986.28,0.004442750012139217,,22089.97733488407,0.001966143020245783,,15896.302665115925,0.0024766069918934343,,0,0,,,,,0,,,59485.240000000005,0.006121450533395312,,,,,59485.240000000005,,,97471.52,0.003542348327917515,,3747.84,0,,,,,3747.84,,,33934.69,0.004063322787723972,,,,,33934.69,,,51413.33,0.006135655733916378,,,,,51413.33,,,89095.86,0.0036592250667305927,,0,0,,,,,0,,,52000,0.0050059153746771085,,,,,52000,,,32358,0.002530838455861808,,,,,32358,,,84358,0.002619272052822692,,65787.18,0.00512061100488613,,,,,65787.18,,,,,,,,,,,,,,,,,,,,,65787.18,0.00512061100488613,,336712.56,0.0034741809400030974,,22089.97733488407,0.001966143020245783,,314622.58266511594,0.0015080379197573144,,,,,
TOTAL MATERIALES,7953169.500000001,0.9301764714173185,,9614389.328547167,0.855739423616197,,-1661219.828547165,0.07443704780112148,,8201047.610000002,0.8867536657609089,,,,,8201047.610000002,,,8537634.87,0.878582813634036,,,,,8537634.87,,,24691851.98,0.8973609991363608,,7155406.929999999,0.9393517565982921,,,,,7155406.929999999,,,6285712.400000001,0.7526480551906956,,,,,6285712.400000001,,,7123515.989999999,0.8501188646930377,,,,,7123515.989999999,,,20564635.32,0.844602982126412,,7994895.609999999,0.8850312276746699,,,,,7994895.609999999,,,7442250.680000001,0.7164476365617917,,,,,7442250.680000001,,,9152070.970000003,0.7158172063060908,,,,,9152070.970000003,,,24589217.26,0.7634824150632231,,9566961.52,0.7446540259459996,,,,,9566961.52,,,,,,,,,,,,,,,,,,,,,9566961.52,0.7446540259459996,,79412666.08000001,0.8193753475960818,,9614389.328547167,0.855739423616197,,69798276.75145285,-0.036364076020115266,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA,113187.84,0.013238076419539155,,86182.668,0.0076707842921491555,,27005.17199999999,0.005567292127389999,,100198.58,0.010834159529899091,,,,,100198.58,,,70222.91,0.0072264324709133045,,,,,70222.91,,,283609.32999999996,0.010307041850863785,,71699.85,0.009412655451216115,,,,,71699.85,,,81124.64,0.009713823770245246,,,,,81124.64,,,63151.32,0.007536464933556881,,,,,63151.32,,,215975.81,0.008870267347545036,,65615.54,0.007263609777230901,,,,,65615.54,,,91438.47,0.008802562361729837,,,,,91438.47,,,79624.06,0.006227691237401816,,,,,79624.06,,,236678.07,0.007348731054162176,,98650.86,0.0076785884325408236,,,,,98650.86,,,,,,,,,,,,,,,,,,,,,98650.86,0.0076785884325408236,,834914.07,0.008614595631759064,,86182.668,0.0076707842921491555,,748731.402,0.0009438113396099089,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE FABRICACION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA INDIRECTA,162674.12,0.01902582849925648,,79029.15815384616,0.007034078185979279,,83644.96184615383,0.011991750313277202,,142467.59,0.015404575572830037,,,,,142467.59,,,152850,0.015729342506300273,,,,,152850,,,457991.70999999996,0.01664451491182843,,155789.38,0.020451810664856046,,,,,155789.38,,,158980.18,0.019036207143500024,,,,,158980.18,,,154758.84,0.018468886649050883,,,,,154758.84,,,469528.4,0.01928383755229377,,158102.59,0.017501883220492107,,,,,158102.59,,,163099.47,0.015701195086051688,,,,,163099.47,,,161239.94,0.01261117005911523,,,,,161239.94,,,482442,0.014979573338721701,,167230.45,0.013016549464835853,,,,,167230.45,,,,,,,,,,,,,,,,,,,,,167230.45,0.013016549464835853,,1577192.5599999998,0.016273382646215192,,79029.15815384616,0.007034078185979279,,1498163.4018461537,0.009239304460235912,,,,,
MANTENIMIENTO INSTALACIONES,0,0,,0,0,,0,,,7400,0,,,,,7400,,,0,0,,,,,0,,,7400,0,,1800,0,,,,,1800,,,0,0,,,,,0,,,0,0,,,,,0,,,1800,0,,4728.45,0,,,,,4728.45,,,19693.1,0.0018958075397125722,,,,,19693.1,,,0,0,,,,,0,,,24421.55,0,,135,0,,,,,135,,,,,,,,,,,,,,,,,,,,,135,0,,33756.55,0,,0,0,,33756.55,,,,,,
MANTENIMIENTO ACTIVO FIJO,700,0,,15620.964820914476,0.0013903613610161767,,-14920.964820914476,-0.0013903613610161767,,47613.740000000005,0.0051483250059545516,,,,,47613.740000000005,,,41533.33,0.004274072443553787,,,,,41533.33,,,89847.07,0.003265257566341306,,458049.82999999996,0.060132137365393565,,,,,458049.82999999996,,,24252.08,0.002903931914913759,,,,,24252.08,,,16678.5,0.0019904085994454025,,,,,16678.5,,,498980.41,0.020493450807697558,,24037.5,0.002660940076393303,,,,,24037.5,,,65859.55,0.006340141036813764,,,,,65859.55,,,10248.279999999999,0,,,,,10248.279999999999,,,100145.33,0.003109460443463642,,29113.16,0.002266051949376926,,,,,29113.16,,,,,,,,,,,,,,,,,,,,,29113.16,0.002266051949376926,,718085.97,0.0074091699764856885,,15620.964820914476,0.0013903613610161767,,702465.0051790855,0.006018808615469512,,,,,
DEPRECIACIONES Y AMORT.,389212.64,0.0455210265676117,,326322.96,0.029044738273078494,,62889.67999999999,0.016476288294533206,,389212.64,0.04208434723139973,,,,,389212.64,,,389505.64,0.04008287615110038,,,,,389505.64,,,1167930.92,0.042445404991993195,,389468.14,0.05112882957280944,,,,,389468.14,,,389468.14,0.04663472005651062,,,,,389468.14,,,389468.14,0.04647904398273262,,,,,389468.14,,,1168404.42,0.04798713140815768,,389468.14,0.04311394205738357,,,,,389468.14,,,389468.14,0.0374931644225557,,,,,389468.14,,,389468.14,0.030461738860404552,,,,,389468.14,,,1168404.42,0.036278349933622264,,389468.14,0.030314642514491917,,,,,389468.14,,,,,,,,,,,,,,,,,,,,,389468.14,0.030314642514491917,,3894207.900000001,0.04018021443153024,,326322.96,0.029044738273078494,,3567884.940000001,0.011135476158451747,,,,,
FLETES REFACCIONES,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,25491.2,0.0033464488787360116,,,,,25491.2,,,0,0,,,,,0,,,0,0,,,,,0,,,25491.2,0.0010469402059876058,,0,0,,,,,0,,,8201.06,0,,,,,8201.06,,,9871.06,0,,,,,9871.06,,,18072.12,0,,-8201.06,0,,,,,-8201.06,,,,,,,,,,,,,,,,,,,,,-8201.06,0,,35362.26,0,,0,0,,35362.26,,,,,,
GASTOS DE IMPORTACION REFACCIONES,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,4228.7300000000005,0,,,,,4228.7300000000005,,,0,0,,,,,0,,,0,0,,,,,0,,,4228.7300000000005,0,,0,0,,,,,0,,,5329.08,0,,,,,5329.08,,,3510.8700000000003,0,,,,,3510.8700000000003,,,8839.95,0,,-5038.889999999999,0,,,,,-5038.889999999999,,,,,,,,,,,,,,,,,,,,,-5038.889999999999,0,,8029.790000000003,0,,0,0,,8029.790000000003,,,,,,
HONORARIOS,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,17538,0.0023023639701258538,,,,,17538,,,1400,0,,,,,1400,,,2800,0,,,,,2800,,,21738,0,,0,0,,,,,0,,,1400,0,,,,,1400,,,2800,0,,,,,2800,,,4200,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,25938,0,,0,0,,25938,,,,,,
