UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,,Unnamed: 122,Unnamed: 123,0,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
DEPRECIACIONES Y AMORT.,383542.65,,,384245.21,,,-702.5599999999977,,,383541.77,,,384245.21,,,-703.4400000000023,,,382057.37,,,384245.21,,,-2187.8400000000256,,,1149141.79,,,382057.37,,,384245.21,,,-2187.8400000000256,,,382057.37,3.1361641967199336,,384245.21,,,-2187.8400000000256,,,381513.27,,,384245.21,,,-2731.9400000000023,,,1145628.01,9.404026279408,,381513.27,,,384245.21,,,-2731.9400000000023,,,381513.27,2.234297112527646,,384245.21,,,-2731.9400000000023,,,380962.76,3.797475677830941,,384245.21,,,-3282.4500000000116,,,1143989.3,4.2202235817158575,,379235.46,,,384245.21,,,-5009.75,,,,,,,,,,,,,,,,,,,,,379235.46,,,3817994.5600000005,9.717563278594463,,3842452.1,,,-24457.53999999957,,,4966586.420000001,0.13628367947420905,,4198093.300000001,0.1151961434509831
FLETES REFACCIONES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,11120.73,0,,11120.73,0
GASTOS DE IMPORTACION REFACCIONES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,5594.780000000001,0,,5594.780000000001,0
HONORARIOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MATERIALES INDIRECTOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,2,0,,2,0
COMBUSTIBLE,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
HERRAMIENTAS Y EQ MENORES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,300,0,,300,0
EQ PROTECCION Y SEGURIDAD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MAQUILA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,71304.06,0.0019565912754720112,,71304.06,0.0019565912754720112
DIVERSOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
RECOLECCION DE BASURA ,0,,,2870,,,-2870,,,0,,,2870,,,-2870,,,0,,,2870,,,-2870,,,0,,,0,,,2870,,,-2870,,,0,0,,2870,,,-2870,,,0,,,2870,,,-2870,,,0,0,,0,,,2870,,,-2870,,,0,0,,2870,,,-2870,,,0,0,,2870,,,-2870,,,0,0,,0,,,2870,,,-2870,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,28700,,,-28700,,,33302.979999999996,0,,33302.979999999996,0
ARRENDAMIENTO DE EQUIPOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS DE FABRICACION,383542.65,,,387735.21,,,-4192.559999999998,,,427722.86,,,390563.49000000005,,,37159.369999999995,,,412998.46,,,402139.82,,,10858.639999999974,,,1224263.97,,,387398.46,,,389357.24000000005,,,-1958.7800000000252,,,476901.01,3.9146997031926776,,404577.98000000004,,,72323.02999999997,,,463209.49,,,396087.73000000004,,,67121.76,,,1327508.96,10.89701808703995,,387570.75,,,467277.18000000005,,,-79706.43000000001,,,386854.36000000004,2.265576711176339,,387115.21,,,-260.8500000000022,,,394532.21,3.932737340510367,,387115.21,,,7416.999999999987,,,1168957.32,4.312331634468408,,384576.55000000005,,,387115.21,,,-2538.66,,,,,,,,,,,,,,,,,,,,,384576.55000000005,,,4105306.8000000007,10.44883065706729,,3999084.2800000003,,,106222.52000000043,,,8313784.980000002,0.22813117735537433,,7515515.870000002,0.2062265848804885
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTO DE VENTAS DIRECTO,386521.7,,,387735.21,,,-1213.5099999999975,,,438522.16,,,390563.49000000005,,,47958.67,,,427837.42000000004,,,402139.82,,,25697.599999999973,,,1252881.28,,,387398.46,,,389357.24000000005,,,-1958.7800000000252,,,476991.89,3.9154457026801315,,404577.98000000004,,,72413.90999999997,,,463209.49,,,396087.73000000004,,,67121.76,,,1327599.84,10.897764086527404,,387570.75,,,467277.18000000005,,,-79706.43000000001,,,557607.5200000003,3.2655767697404134,,387115.21,,,170492.31000000014,,,494852.21,4.932737340510367,,387115.21,,,107736.99999999999,,,1440030.4800000002,5.31233167135882,,405843.68000000005,,,387115.21,,,18728.47,,,,,,,,,,,,,,,,,,,,,405843.68000000005,,,4426355.280000001,11.265963544730853,,3999084.2800000003,,,427271.0000000006,,,45370045.89000001,1.2449590662318357,,44572592.660000004,1.2230768615941898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGEN DE BRUTO,-386521.7,,,-387735.21,,,1213.5099999999975,,,-438522.16,,,-390563.49000000005,,,-47958.67,,,-427837.42000000004,,,-402139.82,,,-25697.599999999973,,,-1252881.28,,,-387398.46,,,-389357.24000000005,,,1958.7800000000252,,,-355168.75,-2.915445702680131,,-404577.98000000004,,,49409.230000000025,,,-463209.49,,,-396087.73000000004,,,-67121.76,,,-1205776.7,-9.897764086527403,,-387570.75,,,-467277.18000000005,,,79706.43000000001,,,-386854.3700000002,-2.2655767697404134,,-387115.21,,,260.839999999851,,,-394532.21,-3.932737340510367,,-387115.21,,,-7416.999999999985,,,-1168957.3300000003,-4.3123316713588205,,-405843.68000000005,,,-387115.21,,,-18728.47,,,,,,,,,,,,,,,,,,,,,-405843.68000000005,,,-4033458.990000001,-10.265963544730853,,-3999084.2800000003,,,-34374.7100000006,,,-8927043.77000001,-0.24495906623183578,,-8129590.540000007,-0.22307686159418985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE ADMINISTRACION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABOR INDIRECTA,166100.6,,,145035.29,,,21065.309999999998,,,190022.91999999998,,,145035.29,,,44987.629999999976,,,82511.22,,,149386.3487,,,-66875.1287,,,438634.74,,,196553.35,,,156855.666135,,,39697.683865,,,194941.61000000002,1.6002018171588748,,156855.666135,,,38085.94386500001,,,190827.78,,,156855.666135,,,33972.11386499999,,,582322.74,4.780066742656609,,199590.61,,,156855.666135,,,42734.94386499998,,,193416.63,1.1327265704907934,,156855.666135,,,36560.963865,,,247181.38,2.4639292264752792,,156855.666135,,,90325.713865,,,640188.62,2.3616821511093957,,178028.56,,,156855.666135,,,21172.89386499999,,,,,,,,,,,,,,,,,,,,,178028.56,,,1839174.6599999997,4.681069042418293,,1537446.5916450005,,,301728.0683549992,,,3912651.710000001,0.10736359472022557,,3550180.8300000005,0.09741735377096317
MANTENIMIENTO INSTALACIONES,4896,,,6715.974919875609,,,-1819.974919875609,,,0,,,21206.77277082319,,,-21206.77277082319,,,0,,,10515.91009649328,,,-10515.91009649328,,,4896,,,0,,,10720.920390197021,,,-10720.920390197021,,,0,0,,12902.384861994604,,,-12902.384861994604,,,0,,,24663.998501071845,,,-24663.998501071845,,,0,0,,0,,,216339.66218817225,,,-216339.66218817225,,,0,0,,3236.230419623741,,,-3236.230419623741,,,0,0,,88493.42142906392,,,-88493.42142906392,,,0,0,,0,,,8649.97809060901,,,-8649.97809060901,,,,,,,,,,,,,,,,,,,,,0,,,4896,0.01246130371961517,,403445.2536679245,,,-398549.2536679245,,,329116.08,0.009030981556247267,,329116.08,0.009030981556247267
MANTENIMIENTO ACTIVO FIJO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,156728.75,0.004300654196488026,,156728.75,0.004300654196488026
ARRENDAMIENTO,1496956.65,,,1496956.65,,,0,,,1496956.65,,,1496956.65,,,0,,,1496956.65,,,1496956.65,,,0,,,4490869.949999999,,,1496956.65,,,1496956.65,,,0,,,1496956.65,12.287949974036131,,1496956.65,,,0,,,1496956.65,,,1496956.65,,,0,,,4490869.949999999,36.863849922108386,,1496956.65,,,1496956.65,,,0,,,1496956.65,8.766787904059164,,1496956.65,,,0,,,1496956.65,14.92181668660287,,1496956.65,,,0,,,4490869.949999999,16.567003961845717,,1496956.65,,,1496956.65,,,0,,,,,,,,,,,,,,,,,,,,,1496956.65,,,14969566.500000002,38.10055447456631,,14969566.500000002,,,0,,,14427312.2,0.3958870389572614,,12522891.799999999,0.34362953301060256
ENERGIA ELECTRICA,23977.46,,,43988.24000061068,,,-20010.780000610685,,,40774.13,,,55110.24345696225,,,-14336.113456962252,,,41337.94,,,45517.78329694138,,,-4179.843296941377,,,106089.53,,,47685.34,,,51597.54979938933,,,-3912.209799389333,,,47692.24,0.39148752855984503,,56481.24910523494,,,-8789.009105234945,,,42668.96,,,53087.25665232812,,,-10418.296652328121,,,138046.53999999998,1.1331717438903641,,40840.31,,,47451.25466050759,,,-6610.944660507594,,,40785.34,0.23885556430437738,,42465.6175740292,,,-1680.2775740292054,,,41477.58,0.41345275119617225,,38272.53404025594,,,3205.045959744064,,,123103.23,0.4541328788926531,,37010.34,,,39396.39833074692,,,-2386.0583307469205,,,,,,,,,,,,,,,,,,,,,37010.34,,,404249.64,1.0288965569005502,,473368.12691700633,,,-69118.48691700632,,,552187.06,0.015152073865422812,,456893.31,0.01253720284886343
TRANSPORTE DE PERSONAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
DEPRECIACIONES Y AMORT.,1604.41,,,1693.531023316786,,,-89.12102331678602,,,-52096.45,,,1693.531023316786,,,-53789.98102331678,,,1269.12,,,1693.531023316786,,,-424.4110233167862,,,-49222.91999999999,,,0,,,1693.531023316786,,,-1693.531023316786,,,0,0,,1693.531023316786,,,-1693.531023316786,,,0,,,1693.531023316786,,,-1693.531023316786,,,0,0,,0,,,1693.531023316786,,,-1693.531023316786,,,0,0,,1693.531023316786,,,-1693.531023316786,,,0,0,,1693.531023316786,,,-1693.531023316786,,,0,0,,0,,,1693.531023316786,,,-1693.531023316786,,,,,,,,,,,,,,,,,,,,,0,,,-49222.91999999999,-0.12528222142285944,,16935.31023316786,,,-66158.23023316785,,,88879.92000000001,0.002438874813533063,,79439.6,0.00217983139090518
COMBUSTIBLE,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,2249.48,0,,2249.48,0
DIVERSOS,0,,,0,,,0,,,104,,,0,,,104,,,478.43,,,0,,,478.43,,,582.4300000000001,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,582.4300000000001,0.0014824013736551192,,0,,,582.4300000000001,,,40102.40000000001,0.0011004142816760897,,74769.04000000001,0.0020516707090650634
